publication_id,publication_name
""
Journal of glaucoma
International Conference on Embedded Software and Systems
2006 IEEE/ACM International Symposium on Mixed and Augmented Reality
Immunopharmacology
GeoInformatica
Workshop on Software Engineering and Architectures for Realtime Interactive Systems
Journal of Intelligent Manufacturing
"Proceedings of the 19th Annual International Conference on Mobile Systems, Applications, and Services"
Handbook of Mixed Membership Models and Their Applications
Annual Conference for Computer Science Logic
Telemedicine journal and e-health
IEEE Trans. Parallel Distributed Syst.
IEEE International Symposium on High-Assurance Systems Engineering
PERV
Spring Simulation Multiconference
International Journal of Experimental Diabetes Research
UK Conference on Hypertext
Immunology today (Amsterdam. Regular ed.)
Mathematical programming
2011 e-Manufacturing & Design Collaboration Symposium & International Symposium on Semiconductor Manufacturing (eMDC & ISSM)
OOPSLA Addendum
International Conference on Database Theory
2016 IEEE International Symposium on Mixed and Augmented Reality (ISMAR-Adjunct)
IEEE International Symposium on Biomedical Imaging
Computing and Software Science
[1991] Proceedings 32nd Annual Symposium of Foundations of Computer Science
Wireless Communications and Mobile Computing
Robotics: Science and Systems
Journal of Immunology
Annals of the New York Academy of Sciences
KDD '11 Tutorials
Nature Neuroscience
Operations Research Letters
SNA@ICML
Data mining and knowledge discovery
International Conference on Generative Programming: Concepts and Experiences
Free Radical Research Communications
Mammal Review
"ACM SIGGRAPH 2018 Virtual, Augmented, and Mixed Reality"
IEEE Trans. Computers
ACM Transactions on Database Systems
TCHI
Advances in Parasitology
International Journal of Production Economics
Biochemical Journal
arXiv.org
Log. Methods Comput. Sci.
Physical Review C
Computer
Colloquium on Trees in Algebra and Programming
Journal of Cosmology and Astroparticle Physics
American Journal of Respiratory Cell and Molecular Biology
CACM
Cell Genomics
OR Spectr.
IEEE Transactions on Automatic Control
International Journal of Molecular Medicine
Hepatology Research
Journal of Rheumatology
23rd Annual Symposium on Foundations of Computer Science (sfcs 1982)
Formal Techniques for (Networked and) Distributed Systems
FEMS Microbiology Immunology
Journal of Vision
IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing
Proceedings of the Winter Simulation Conference 2014
International Symposium on Semiconductor Manufacturing
Complex Adaptive Systems
MethodsX
International Computing and Combinatorics Conference
Applied Soft Computing
OOPSLA Companion
Climate Change Ecology
Antimicrobial Agents and Chemotherapy
Theoretical Population Biology
SIGGRAPH Immersive Pavilion
Theoretical Ecology
Graduate Studies in Mathematics
Journal of Economics Theory
History of Programming Languages
Proceedings DCC 2002. Data Compression Conference
Int. J. Robotics Res.
40th Annual Symposium on Foundations of Computer Science (Cat. No.99CB37039)
International ACM SIGACCESS Conference on Computers and Accessibility
Chinese CHI '14
Dermatology Online Journal
Acta paediatrica Hungarica
Management Sciences
C++ Workshop
CHI EA '04
Blood
Bioinformatics
SIGMOD record
International Conference on Multimodal Interaction
"Conference on Object-Oriented Programming Systems, Languages, and Applications"
2007 IEEE/RSJ International Conference on Intelligent Robots and Systems
Applied Clinical Informatics
International Conference on Smart Multimedia
22nd Annual Symposium on Foundations of Computer Science (sfcs 1981)
NIPS 2010
Conservation Physiology
Artificial Intelligence
Algorithms and Theory of Computation Handbook
IEEE Software
IEEE Transactions on Automation Science and Engineering
"Nuclear Instruments and Methods in Physics Research Section A : Accelerators, Spectrometers, Detectors and Associated Equipment"
Journal of General Microbiology
2002 IEEE International Conference on Communications. Conference Proceedings. ICC 2002 (Cat. No.02CH37333)
ACM-SIGACT Symposium on Principles of Programming Languages
International Symposium on Mathematical Foundations of Computer Science
The MeDoc Approach
J. Field Robotics
Aegean Workshop on Computing
The 40th International Conference on Computers & Indutrial Engineering
Advances in Experimental Medicine and Biology
Technical Symposium on Computer Science Education
International Symposium on Algorithms
Proceedings / International Conference on Data Engineering
Industrial Conference on Data Mining
2014 IEEE/RSJ International Conference on Intelligent Robots and Systems
Biology Open
"The 13th International Conference on Solid-State Sensors, Actuators and Microsystems, 2005. Digest of Technical Papers. TRANSDUCERS '05."
IEEE Transactions on Control of Network Systems
International Journal on Digital Libraries
Proceedings Visualization '92
Cell & Bioscience
"2009 Third International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies"
Symposium on the Theory of Computing
ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
SIAM Review
IEEE transactions on energy conversion
Journal of Zhejiang University SCIENCE B
International Workshop on Automated Reasoning
ACM Conference on Economics and Computation
The Spin Verification System
European Physical Journal A
Nature Biotechnology
International Conference on Agents
American journal of ophthalmology-glaucoma
Aquatic Ecosystem Health & Management
Journal of Ophthalmology
Journal of Computing Science and Engineering
eLife
"Software, Practice & Experience"
Thorax
Collective Intelligence
Workshop on Algorithm Engineering
ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing
Mammalian Biology
Indian Journal of Ophthalmology
IEEE Internet Computing
Scientific American
Embedded Systems and Applications
International Workshop on Languages and Compilers for Parallel Computing
Intelligent Technologies for Interactive Entertainment
Evolution; international journal of organic evolution
IEEE Symposium on Security and Privacy
Operational Research
LiSA
"Proceedings of the 19th Annual IEEE Symposium on Logic in Computer Science, 2004."
Model-Based Clustering and Classification for Data Science
Journal of the American College of Cardiology
Information and Control
Advances in Digital Government
European Journal of Operational Research
Proceedings IEEE Symposium on Information Visualization '96
Critical Care Medicine
Leukemia and Lymphoma
Annual International Computer Software and Applications Conference
Journal of ethology
Frontiers in Marine Science
2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)
International Conference on Web and Social Media
